actor,character,season,episode
Celia Lovsky,T'Pau,2,1
Arlene Martel,T'Pring,2,1
Lawrence Montaigne,Stonn,2,1
Majel Barrett,Nurse Christine Chapel,2,1
George Takei,Sulu,2,1
Nichelle Nichols,Uhura,2,1
Walter Koenig,Chekov,2,1
Byron Morrow,Admiral Komack,2,1
Bill Blackburn,Lt. Hadley (uncredited),2,1
Frank da Vinci,Vulcan Ceremonial Aide (uncredited),2,1
Walker Edmiston,Space Central (voice) (uncredited),2,1
Charles Palmer,Vulcan Litter Bearer (uncredited),2,1
Eddie Paskey,Lt. Leslie (uncredited),2,1
Joe Paz,Vulcan Ceremonial Aide (uncredited),2,1
Russ Peek,Vulcan Executioner (uncredited),2,1
Mary Rice,T'Pring as Child (uncredited),2,1
Mark Russell,Vulcan Litter Bearer (uncredited),2,1
Gary Wright,Vulcan Litter Bearer (uncredited),2,1
William Shatner,Captain James T. Kirk,2,2
Leonard Nimoy,Mr. Spock,2,2
DeForest Kelley,Dr. McCoy,2,2
Michael Forest,Apollo,2,2
Leslie Parrish,Carolyn Palamas,2,2
James Doohan,Scott,2,2
George Takei,Sulu,2,2
Nichelle Nichols,Uhura,2,2
Walter Koenig,Chekov,2,2
John Winston,Lt. Kyle,2,2
Bill Blackburn,Lt. Hadley (uncredited),2,2
Roger Holloway,Lt. Lemli (uncredited),2,2
Eddie Paskey,Lt. Leslie (uncredited),2,2
William Shatner,Captain James T. Kirk,2,3
Leonard Nimoy,Mr. Spock,2,3
